metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,5,203,204,153,204
KVS,50,5,202,204,51,203
KVS,50,5,201,201,153,204
KVS,50,4,204,204,153,204
KVS,50,6,201,201,153,204
KVS,50,6,202,204,51,203
KVS,50,6,203,204,153,204
KVS,50,5,214,216,162,215
KVS,50,6,216,216,162,216
KVS,50,6,215,216,162,216
KVS,50,6,213,213,54,214
KVS,50,6,214,216,162,215
KVS,50,9,216,216,162,216
KVS,50,9,213,213,54,214
KVS,50,9,214,216,162,215
KVS,50,9,215,216,162,216
KVS,50,11,213,213,54,214
KVS,50,11,215,216,162,216
KVS,50,11,216,216,162,216
KVS,50,3,228,228,170,227
KVS,50,3,228,228,170,227
KVS,50,3,228,228,57,228
KVS,50,3,227,228,171,226
KVS,50,3,225,225,171,228
KVS,50,4,228,228,57,228
KVS,50,4,227,228,171,226
KVS,50,4,228,228,170,227
KVS,50,4,225,225,171,228
KVS,50,5,228,228,57,228
KVS,50,5,227,228,171,226
KVS,50,5,225,225,171,228
KVS,50,3,239,240,179,239
KVS,50,3,239,240,179,239
KVS,50,3,240,240,60,237
KVS,50,3,237,240,180,240
KVS,50,3,238,240,178,238
KVS,50,5,237,240,180,240
KVS,50,5,238,240,178,238
KVS,50,5,239,240,179,239
KVS,50,5,240,240,60,237
KVS,50,6,238,240,178,238
KVS,50,6,240,240,60,237
KVS,50,6,237,240,180,240
