metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,2,135,135,135,135
KVS,50,2,135,135,135,135
KVS,50,3,135,135,135,135
KVS,50,2,138,138,138,138
KVS,50,3,138,138,138,138
KVS,50,3,138,138,138,138
KVS,50,3,141,141,141,141
KVS,50,3,141,141,141,141
KVS,50,3,141,141,141,141
KVS,50,2,144,144,144,144
KVS,50,3,144,144,144,144
KVS,50,3,144,144,144,144
KVS,50,2,147,147,147,147
KVS,50,3,147,147,147,147
KVS,50,3,147,147,147,147
KVS,50,2,150,150,150,150
KVS,50,3,150,150,150,150
KVS,50,3,150,150,150,150
KVS,50,2,153,153,153,153
KVS,50,3,153,153,153,153
KVS,50,3,153,153,153,153
KVS,50,2,156,156,156,156
KVS,50,3,156,156,156,156
KVS,50,3,156,156,156,156
KVS,50,3,159,159,159,159
KVS,50,3,159,159,159,159
KVS,50,3,159,159,159,159
KVS,50,3,162,162,162,162
KVS,50,3,162,162,162,162
KVS,50,3,162,162,162,162
KVS,50,2,165,165,165,165
KVS,50,3,165,165,165,165
KVS,50,3,165,165,165,165
KVS,50,2,168,168,168,168
KVS,50,3,168,168,168,168
KVS,50,3,168,168,168,168
KVS,50,3,171,171,171,171
KVS,50,3,171,171,171,171
KVS,50,3,171,171,171,171
KVS,50,2,174,174,174,174
KVS,50,3,174,174,174,174
KVS,50,3,174,174,174,174
KVS,50,3,177,177,177,177
KVS,50,3,177,177,177,177
KVS,50,3,177,177,177,177
KVS,50,3,180,180,180,180
KVS,50,3,180,180,180,180
KVS,50,3,180,180,180,180
KVS,50,2,183,183,183,183
KVS,50,2,183,183,183,183
KVS,50,2,183,183,183,183
KVS,50,2,186,186,186,186
KVS,50,3,186,186,186,186
KVS,50,3,186,186,186,186
KVS,50,3,189,189,189,189
KVS,50,3,189,189,189,189
KVS,50,3,189,189,189,189
KVS,50,2,192,192,192,192
KVS,50,3,192,192,192,192
KVS,50,3,192,192,192,192
KVS,50,2,195,195,195,195
KVS,50,2,195,195,195,195
KVS,50,3,195,195,195,195
KVS,50,2,198,198,198,198
KVS,50,3,198,198,198,198
KVS,50,3,198,198,198,198
KVS,50,2,201,201,201,201
KVS,50,3,201,201,201,201
KVS,50,3,201,201,201,201
KVS,50,3,204,204,204,204
KVS,50,3,204,204,204,204
