metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,3,3,3,3,3
KVS,50,4,3,3,3,3
KVS,50,4,3,3,3,3
KVS,50,4,5,6,6,6
KVS,50,4,5,6,6,6
KVS,50,4,5,6,6,6
KVS,50,3,7,9,9,9
KVS,50,3,7,9,9,9
KVS,50,3,7,9,9,9
KVS,50,3,9,12,12,12
KVS,50,3,9,12,12,12
KVS,50,3,9,12,12,12
KVS,50,3,11,15,15,15
KVS,50,3,11,15,15,15
KVS,50,3,11,15,15,15
KVS,50,3,13,18,18,18
KVS,50,3,13,18,18,18
KVS,50,3,13,18,18,18
KVS,50,3,15,21,21,21
KVS,50,3,15,21,21,21
KVS,50,3,15,21,21,21
KVS,50,3,17,24,24,24
KVS,50,3,17,24,24,24
KVS,50,3,17,24,24,24
KVS,50,3,19,27,27,27
KVS,50,3,19,27,27,27
KVS,50,3,19,27,27,27
KVS,50,3,21,30,30,30
KVS,50,3,21,30,30,30
KVS,50,3,21,30,30,30
KVS,50,3,23,33,33,33
KVS,50,3,23,33,33,33
KVS,50,3,23,33,33,33
KVS,50,3,25,36,36,36
KVS,50,3,25,36,36,36
KVS,50,3,25,36,36,36
KVS,50,3,27,39,39,39
KVS,50,3,27,39,39,39
KVS,50,3,27,39,39,39
KVS,50,4,29,42,42,42
KVS,50,4,29,42,42,42
KVS,50,4,29,42,42,42
KVS,50,4,31,45,45,45
KVS,50,4,31,45,45,45
KVS,50,4,31,45,45,45
KVS,50,4,33,48,48,48
KVS,50,4,33,48,48,48
KVS,50,4,33,48,48,48
KVS,50,3,35,51,51,51
KVS,50,3,35,51,51,51
KVS,50,3,35,51,51,51
KVS,50,4,37,54,54,54
KVS,50,4,37,54,54,54
KVS,50,4,37,54,54,54
KVS,50,3,39,57,57,57
KVS,50,3,39,57,57,57
KVS,50,3,39,57,57,57
KVS,50,3,41,60,60,60
KVS,50,3,41,60,60,60
KVS,50,3,41,60,60,60
KVS,50,3,43,63,63,63
KVS,50,3,43,63,63,63
KVS,50,3,43,63,63,63
KVS,50,4,45,66,66,66
KVS,50,4,45,66,66,66
KVS,50,4,45,66,66,66
KVS,50,4,47,69,69,69
KVS,50,4,47,69,69,69
KVS,50,4,47,69,69,69
KVS,50,4,49,72,72,72
KVS,50,4,49,72,72,72
KVS,50,4,49,72,72,72
KVS,50,3,51,75,75,75
KVS,50,3,51,75,75,75
KVS,50,3,51,75,75,75
KVS,50,4,53,78,78,78
KVS,50,4,53,78,78,78
KVS,50,4,53,78,78,78
KVS,50,3,55,81,81,81
KVS,50,3,55,81,81,81
KVS,50,3,55,81,81,81
KVS,50,4,57,84,84,84
KVS,50,4,57,84,84,84
KVS,50,4,57,84,84,84
KVS,50,3,59,87,87,87
KVS,50,3,59,87,87,87
KVS,50,3,59,87,87,87
KVS,50,3,61,90,90,90
KVS,50,3,61,90,90,90
KVS,50,3,61,90,90,90
KVS,50,3,63,93,93,93
KVS,50,3,63,93,93,93
KVS,50,3,63,93,93,93
KVS,50,3,65,96,96,96
KVS,50,3,65,96,96,96
KVS,50,3,65,96,96,96
KVS,50,3,67,99,99,99
KVS,50,3,67,99,99,99
KVS,50,3,67,99,99,99
KVS,50,3,69,102,102,102
KVS,50,3,69,102,102,102
KVS,50,3,69,102,102,102
KVS,50,3,71,105,105,105
KVS,50,3,71,105,105,105
KVS,50,3,71,105,105,105
KVS,50,3,73,108,108,108
KVS,50,3,73,108,108,108
KVS,50,3,73,108,108,108
KVS,50,3,75,111,111,111
KVS,50,3,75,111,111,111
KVS,50,3,75,111,111,111
KVS,50,3,77,114,114,114
KVS,50,3,77,114,114,114
KVS,50,3,77,114,114,114
KVS,50,3,79,117,117,117
KVS,50,3,79,117,117,117
KVS,50,3,79,117,117,117
KVS,50,3,81,120,120,120
KVS,50,3,81,120,120,120
KVS,50,3,81,120,120,120
KVS,50,4,83,123,123,123
KVS,50,4,83,123,123,123
KVS,50,4,83,123,123,123
KVS,50,3,85,126,126,126
KVS,50,3,85,126,126,126
KVS,50,3,85,126,126,126
KVS,50,4,87,129,129,129
KVS,50,4,87,129,129,129
KVS,50,4,87,129,129,129
KVS,50,3,89,132,132,132
KVS,50,3,89,132,132,132
KVS,50,3,89,132,132,132
KVS,50,3,91,135,135,135
KVS,50,3,91,135,135,135
KVS,50,3,91,135,135,135
KVS,50,3,93,138,138,138
KVS,50,3,93,138,138,138
KVS,50,3,93,138,138,138
KVS,50,3,95,141,141,141
KVS,50,3,95,141,141,141
KVS,50,3,95,141,141,141
KVS,50,3,97,144,144,144
KVS,50,3,97,144,144,144
KVS,50,3,97,144,144,144
KVS,50,3,99,147,147,147
KVS,50,3,99,147,147,147
KVS,50,3,99,147,147,147
KVS,50,3,101,150,150,150
KVS,50,3,101,150,150,150
KVS,50,3,101,150,150,150
KVS,50,3,103,153,153,153
KVS,50,3,103,153,153,153
KVS,50,3,103,153,153,153
KVS,50,3,105,156,156,156
KVS,50,3,105,156,156,156
KVS,50,3,105,156,156,156
KVS,50,3,107,159,159,159
KVS,50,3,107,159,159,159
KVS,50,3,107,159,159,159
KVS,50,3,109,162,162,162
KVS,50,3,109,162,162,162
KVS,50,3,109,162,162,162
KVS,50,3,111,165,165,165
KVS,50,3,111,165,165,165
KVS,50,3,111,165,165,165
KVS,50,3,113,168,168,168
KVS,50,3,113,168,168,168
KVS,50,3,113,168,168,168
KVS,50,4,115,171,171,171
KVS,50,4,115,171,171,171
KVS,50,4,115,171,171,171
KVS,50,3,117,174,174,174
KVS,50,3,117,174,174,174
KVS,50,3,117,174,174,174
KVS,50,3,119,177,177,177
KVS,50,3,119,177,177,177
KVS,50,3,119,177,177,177
KVS,50,3,121,180,180,180
KVS,50,3,121,180,180,180
KVS,50,3,121,180,180,180
KVS,50,3,123,183,183,183
KVS,50,3,123,183,183,183
KVS,50,3,123,183,183,183
KVS,50,4,125,186,186,186
KVS,50,4,125,186,186,186
KVS,50,4,125,186,186,186
KVS,50,3,127,189,189,189
KVS,50,3,127,189,189,189
KVS,50,3,127,189,189,189
KVS,50,3,129,192,192,192
KVS,50,3,129,192,192,192
KVS,50,3,129,192,192,192
KVS,50,3,131,195,195,195
KVS,50,3,131,195,195,195
KVS,50,3,131,195,195,195
KVS,50,3,133,198,198,198
KVS,50,3,133,198,198,198
KVS,50,3,133,198,198,198
KVS,50,3,135,201,201,201
KVS,50,3,135,201,201,201
KVS,50,3,135,201,201,201
KVS,50,3,137,204,204,204
KVS,50,3,137,204,204,204
KVS,50,3,137,204,204,204
KVS,50,3,139,207,207,207
KVS,50,3,139,207,207,207
KVS,50,3,139,207,207,207
KVS,50,4,141,210,210,210
KVS,50,4,141,210,210,210
KVS,50,4,141,210,210,210
KVS,50,3,143,213,213,213
KVS,50,3,143,213,213,213
KVS,50,3,143,213,213,213
KVS,50,3,145,216,216,216
KVS,50,3,145,216,216,216
KVS,50,3,145,216,216,216
KVS,50,3,147,219,219,219
KVS,50,3,147,219,219,219
KVS,50,3,147,219,219,219
KVS,50,3,149,222,222,222
KVS,50,3,149,222,222,222
KVS,50,3,149,222,222,222
KVS,50,3,151,225,225,225
KVS,50,3,151,225,225,225
KVS,50,3,151,225,225,225
KVS,50,4,153,228,228,228
KVS,50,4,153,228,228,228
KVS,50,4,153,228,228,228
KVS,50,4,155,231,231,231
KVS,50,4,155,231,231,231
KVS,50,3,155,231,231,231
KVS,50,3,157,234,234,234
KVS,50,3,157,234,234,234
KVS,50,3,157,234,234,234
KVS,50,4,159,237,237,237
KVS,50,4,159,237,237,237
KVS,50,3,159,237,237,237
KVS,50,3,161,240,240,240
KVS,50,3,161,240,240,240
KVS,50,3,161,240,240,240
KVS,50,4,163,243,243,243
KVS,50,4,163,243,243,243
KVS,50,4,163,243,243,243
KVS,50,3,165,246,246,246
