metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,2,3,3,3,3
KVS,50,2,3,3,3,3
KVS,50,3,3,3,3,3
KVS,50,3,5,6,6,6
KVS,50,3,5,6,6,6
KVS,50,3,5,6,6,6
KVS,50,2,7,9,9,9
KVS,50,3,7,9,9,9
KVS,50,3,7,9,9,9
KVS,50,2,9,12,12,12
KVS,50,3,9,12,12,12
KVS,50,3,9,12,12,12
KVS,50,2,11,15,15,15
KVS,50,2,11,15,15,15
KVS,50,3,11,15,15,15
KVS,50,2,13,18,18,18
KVS,50,3,13,18,18,18
KVS,50,3,13,18,18,18
KVS,50,2,15,21,21,21
KVS,50,3,15,21,21,21
KVS,50,3,15,21,21,21
KVS,50,3,17,24,24,24
KVS,50,3,17,24,24,24
KVS,50,3,17,24,24,24
KVS,50,2,19,27,27,27
KVS,50,3,19,27,27,27
KVS,50,3,19,27,27,27
KVS,50,2,21,30,30,30
KVS,50,3,21,30,30,30
KVS,50,3,21,30,30,30
KVS,50,2,23,33,33,33
KVS,50,2,23,33,33,33
KVS,50,2,23,33,33,33
KVS,50,2,25,36,36,36
KVS,50,2,25,36,36,36
KVS,50,3,25,36,36,36
KVS,50,2,27,39,39,39
KVS,50,2,27,39,39,39
KVS,50,2,27,39,39,39
KVS,50,3,29,42,42,42
KVS,50,3,29,42,42,42
KVS,50,3,29,42,42,42
KVS,50,2,31,45,45,45
KVS,50,3,31,45,45,45
KVS,50,3,31,45,45,45
KVS,50,3,33,48,48,48
KVS,50,3,33,48,48,48
KVS,50,3,33,48,48,48
KVS,50,3,35,51,51,51
KVS,50,3,35,51,51,51
KVS,50,3,35,51,51,51
KVS,50,3,37,54,54,54
KVS,50,3,37,54,54,54
KVS,50,3,37,54,54,54
KVS,50,3,39,57,57,57
KVS,50,3,39,57,57,57
KVS,50,3,39,57,57,57
KVS,50,2,41,60,60,60
KVS,50,2,41,60,60,60
KVS,50,2,41,60,60,60
KVS,50,2,43,63,63,63
KVS,50,3,43,63,63,63
KVS,50,3,43,63,63,63
KVS,50,2,45,66,66,66
KVS,50,3,45,66,66,66
KVS,50,3,45,66,66,66
