Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, s3, 0, 0, 0, 0, 436591, NO TRIGGER, -9223372036854775808
Reaction ends, s3, 0, 0, 0, 0, 437545, NO TRIGGER, -9223372036854775808
Reaction starts, ns_federate__plant_1, 0, 0, 0, 0, 438765, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__plant_1, 0, 0, 0, 0, 439335, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 439525, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 101664091, NO TRIGGER, 0
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 101664852, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 102751911, NO TRIGGER, 0
Reaction starts, nr_federate__s3_2, 0, 0, 100000000, 0, 102754197, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s3_2, 0, 0, 100000000, 0, 102756611, NO TRIGGER, -9223372036854775808
Reaction starts, s3, 0, 3, 100000000, 0, 102757640, NO TRIGGER, -9223372036854775808
Reaction ends, s3, 0, 3, 100000000, 0, 102758055, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 102758833, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 102759088, NO TRIGGER, 0
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 102759309, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 102759538, NO TRIGGER, 0
Reaction starts, s3, 0, 4, 100000000, 0, 102759940, NO TRIGGER, -9223372036854775808
Reaction ends, s3, 0, 4, 100000000, 0, 102760165, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 102760851, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 102761066, NO TRIGGER, 0
Reaction starts, ns_federate__p3, 0, 1, 100000000, 0, 102761348, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 2, -1, 100000000, 0, 102762228, NO TRIGGER, 0
Reaction ends, ns_federate__p3, 0, 1, 100000000, 0, 102902252, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 102903397, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 102903787, NO TRIGGER, 0
Reaction starts, ns_federate__p3, 0, 2, 100000000, 0, 102904070, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p3, 0, 2, 100000000, 0, 102904247, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 102904606, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 102904862, NO TRIGGER, 0
Reaction starts, ns_federate__p3_0, 0, 1, 100000000, 0, 102905312, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 2, -1, 100000000, 0, 102905739, NO TRIGGER, 0
Reaction ends, ns_federate__p3_0, 0, 1, 100000000, 0, 103069263, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 103070975, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 103071421, NO TRIGGER, 0
Reaction starts, ns_federate__p3_0, 0, 2, 100000000, 0, 103072034, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p3_0, 0, 2, 100000000, 0, 103072417, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 103072648, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 103073000, NO TRIGGER, 0
Reaction starts, ns_federate__p3_1, 0, 1, 100000000, 0, 103073334, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 2, -1, 100000000, 0, 103073925, NO TRIGGER, 0
Reaction ends, ns_federate__p3_1, 0, 1, 100000000, 0, 103083773, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 103083987, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 103084167, NO TRIGGER, 0
Reaction starts, ns_federate__p3_1, 0, 2, 100000000, 0, 103084350, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p3_1, 0, 2, 100000000, 0, 103084507, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 103084708, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 103084925, NO TRIGGER, 0
Reaction starts, ns_federate__p3_2, 0, 1, 100000000, 0, 103085250, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 2, -1, 100000000, 0, 103085444, NO TRIGGER, 0
Reaction ends, ns_federate__p3_2, 0, 1, 100000000, 0, 103093365, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 103093685, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 0, 103093863, NO TRIGGER, 0
Reaction starts, ns_federate__p3_2, 0, 2, 100000000, 0, 103094050, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p3_2, 0, 2, 100000000, 0, 103094189, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 0, 103094390, NO TRIGGER, 0
Sending LTC, NO REACTOR, 2, -1, 100000000, 0, 103095101, NO TRIGGER, 0
Scheduler advancing time starts, NO REACTOR, -1, -1, 100000000, 0, 103100315, NO TRIGGER, 0
Sending NET, NO REACTOR, 2, -1, 150000000, 0, 103101813, NO TRIGGER, 0
Sending NET, NO REACTOR, 2, -1, 100000000, 1, 109429203, NO TRIGGER, 0
Scheduler advancing time ends, NO REACTOR, -1, -1, 100000000, 1, 109454509, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 1, 109455432, NO TRIGGER, 0
Reaction starts, ns_federate__plant_1, 0, 2, 100000000, 1, 109455919, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 100000000, 1, 109456346, NO TRIGGER, 0
Reaction ends, ns_federate__plant_1, 0, 2, 100000000, 1, 109459562, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 1, 109463127, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 1, 110101453, NO TRIGGER, 0
Reaction starts, ns_federate__p3, 0, 2, 100000000, 1, 110101847, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 100000000, 1, 110102058, NO TRIGGER, 0
Reaction ends, ns_federate__p3, 0, 2, 100000000, 1, 110113567, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 1, 110113781, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 1, 110113966, NO TRIGGER, 0
Reaction starts, ns_federate__p3_0, 0, 2, 100000000, 1, 110114127, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 100000000, 1, 110114210, NO TRIGGER, 0
Reaction ends, ns_federate__p3_0, 0, 2, 100000000, 1, 110115826, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 1, 110115901, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 1, 110115980, NO TRIGGER, 0
Reaction starts, ns_federate__p3_1, 0, 2, 100000000, 1, 110116064, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 100000000, 1, 110116110, NO TRIGGER, 0
Reaction ends, ns_federate__p3_1, 0, 2, 100000000, 1, 110117309, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 1, 110117385, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 100000000, 1, 110117462, NO TRIGGER, 0
Reaction starts, ns_federate__p3_2, 0, 2, 100000000, 1, 110117582, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 100000000, 1, 110117641, NO TRIGGER, 0
Reaction ends, ns_federate__p3_2, 0, 2, 100000000, 1, 110118807, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 100000000, 1, 110118874, NO TRIGGER, 0
Scheduler advancing time starts, NO REACTOR, -1, -1, 100000000, 1, 110119118, NO TRIGGER, 0
Sending NET, NO REACTOR, 2, -1, 150000000, 0, 110119394, NO TRIGGER, 0
Sending NET, NO REACTOR, 2, -1, 110000000, 0, 113272995, NO TRIGGER, 0
Scheduler advancing time ends, NO REACTOR, -1, -1, 110000000, 0, 113286061, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 0, 113286465, NO TRIGGER, 0
Reaction starts, ns_federate__plant_1, 0, 2, 110000000, 0, 113286599, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 0, 113286795, NO TRIGGER, 0
Reaction ends, ns_federate__plant_1, 0, 2, 110000000, 0, 113288485, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 0, 113288615, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 0, 113982553, NO TRIGGER, 0
Reaction starts, ns_federate__p3, 0, 2, 110000000, 0, 113982934, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 0, 113983128, NO TRIGGER, 0
Reaction ends, ns_federate__p3, 0, 2, 110000000, 0, 113994542, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 0, 113994731, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 0, 113994941, NO TRIGGER, 0
Reaction starts, ns_federate__p3_0, 0, 2, 110000000, 0, 113995080, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 0, 113995154, NO TRIGGER, 0
Reaction ends, ns_federate__p3_0, 0, 2, 110000000, 0, 113996791, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 0, 113996860, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 0, 113996944, NO TRIGGER, 0
Reaction starts, ns_federate__p3_1, 0, 2, 110000000, 0, 113997030, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 0, 113997081, NO TRIGGER, 0
Reaction ends, ns_federate__p3_1, 0, 2, 110000000, 0, 113998310, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 0, 113998381, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 0, 113998462, NO TRIGGER, 0
Reaction starts, ns_federate__p3_2, 0, 2, 110000000, 0, 113998568, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 0, 113998621, NO TRIGGER, 0
Reaction ends, ns_federate__p3_2, 0, 2, 110000000, 0, 113999902, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 0, 113999971, NO TRIGGER, 0
Scheduler advancing time starts, NO REACTOR, -1, -1, 110000000, 0, 114000199, NO TRIGGER, 0
Sending NET, NO REACTOR, 2, -1, 150000000, 0, 114000516, NO TRIGGER, 0
Sending NET, NO REACTOR, 2, -1, 110000000, 1, 121854554, NO TRIGGER, 0
Scheduler advancing time ends, NO REACTOR, -1, -1, 110000000, 1, 121874593, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 1, 121875364, NO TRIGGER, 0
Reaction starts, ns_federate__plant_1, 0, 2, 110000000, 1, 121875692, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 1, 121876113, NO TRIGGER, 0
Reaction ends, ns_federate__plant_1, 0, 2, 110000000, 1, 121878714, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 1, 121878963, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 1, 122517016, NO TRIGGER, 0
Reaction starts, ns_federate__p3, 0, 2, 110000000, 1, 122517650, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 1, 122518008, NO TRIGGER, 0
Reaction ends, ns_federate__p3, 0, 2, 110000000, 1, 122533511, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 1, 122533755, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 1, 122537706, NO TRIGGER, 0
Reaction starts, ns_federate__p3_0, 0, 2, 110000000, 1, 122537930, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 1, 122538027, NO TRIGGER, 0
Reaction ends, ns_federate__p3_0, 0, 2, 110000000, 1, 122540617, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 110000000, 1, 122540706, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 110000000, 1, 122540839, NO TRIGGER, 0
Reaction starts, ns_federate__p3_1, 0, 2, 110000000, 1, 122540991, NO TRIGGER, -9223372036854775808
Sending PORT_ABS, NO REACTOR, 2, -1, 110000000, 1, 122541050, NO TRIGGER, 0
Reaction ends, ns_federate__p3_1, 0, 2, 110000000, 1, 122542730, NO TRIGGER, -9223372036854775808
