Start time:, 1754072193349933818
End time:, 1754072198363578025
Total time:, 5013644207

Total Event Occurrences
Reaction starts, 24370
Reaction ends, 24370
Schedule called, 801
Worker wait starts, 24378
Worker wait ends, 24378
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 403
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 8428
Sending TAGGED_MSG, 2800
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving TAG, 19
Receiving PORT_ABS, 9327
Receiving TAGGED_MSG, 3104

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
p3.a.r, 0, 100, 40709, 0.000812, 407, 1028, 186
p3.a.r, 1, 100, 1754072195208173517, 34985972733.349442, 17540721952081735, 1754072195208143591, 60
p3.a.r, 2, 100, 1754072197016199346, 34985972769.411545, 17540721970161993, 1754072197014708140, 58
p3.a.r, 3, 101, 54007, 0.001077, 534, 1332, 236
p3.a.r, 4, 101, 34969, 0.000697, 346, 5968, 82
p3.a.r, 5, 101, 41714, 0.000832, 413, 1831, 45
p3.a.r, 6, 101, 18449, 0.000368, 182, 533, 58
p3.a.r, 7, 101, 25294, 0.000505, 250, 759, 105
p3.a.c, 0, 101, 40194, 0.000802, 397, 968, 98
p3.a.c, 1, 100, 28025, 0.000559, 280, 785, 61
p3.a.c, 2, 100, 7282, 0.000145, 72, 294, 34
p3.a.c, 3, 100, 8553, 0.000171, 85, 287, 35
p3.a.c, 4, 100, 4189544, 0.083563, 41895, 240404, 10818
p3.a.w, 0, 100, 29479, 0.000588, 294, 4791, 69
p3.a.w, 1, 100, 10166, 0.000203, 101, 254, 53
p3.a.w, 2, 100, 1754072195725352101, 34985972743.664864, 17540721957253521, 1754072195725333576, 56
p3.a.w, 3, 100, 27952, 0.000558, 279, 1003, 55
p3.a.a, 0, 100, 1754072195072595951, 34985972730.645264, 17540721950725959, 1754072195072569959, 51
p3.a.delay, 0, 100, 80369, 0.001603, 803, 2734, 313
p3.a.delay, 1, 101, 372150, 0.007423, 3684, 156084, 377
p3.a.delay_0, 0, 100, 32002, 0.000638, 320, 2840, 92
p3.a.delay_0, 1, 101, 266263, 0.005311, 2636, 74483, 460
p3.a.delay_1, 0, 100, 24079, 0.000480, 240, 943, 94
p3.a.delay_1, 1, 101, 418643, 0.008350, 4144, 13734, 1691
p3.ps, 0, 100, 32266, 0.000644, 322, 820, 163
p3.ps, 1, 100, 13931, 0.000278, 139, 467, 39
p3.ps, 2, 100, 16569, 0.000330, 165, 3198, 44
p3.ps, 3, 100, 43608, 0.000870, 436, 1190, 174
p3.ps, 4, 100, 25444, 0.000507, 254, 2148, 87
p3.ps, 5, 100, 27975, 0.000558, 279, 885, 90
p3.ps, 6, 1, 71726, 0.001431, 71726, 71726, 71726
p3.us, 0, 100, 35887, 0.000716, 358, 992, 132
p3.us, 1, 100, 31306, 0.000624, 313, 1840, 62
p3.us, 2, 100, 21392, 0.000427, 213, 1207, 73
p3.e1.et0, 0, 100, 26507, 0.000529, 265, 939, 92
p3.e1.et1, 0, 100, 38629, 0.000770, 386, 814, 129
p3.e1.et1, 1, 100, 36464, 0.000727, 364, 993, 118
p3.e1.et1, 2, 100, 27414, 0.000547, 274, 572, 68
p3.e1.et2, 0, 100, 25114, 0.000501, 251, 669, 129
p3.e1.et2, 1, 100, 1754072196632586812, 34985972761.760170, 17540721966325868, 1754072196632555807, 122
p3.e1.et2, 2, 100, 41882, 0.000835, 418, 3571, 78
p3.e1.et2, 3, 100, 35028, 0.000699, 350, 768, 125
p3.e1.et2, 4, 100, 21614, 0.000431, 216, 697, 75
p3.e1.et2, 5, 100, 23800, 0.000475, 238, 1875, 80
p3.e1.etr, 0, 100, 87972, 0.001755, 879, 2535, 381
p3.e2.et0, 0, 100, 38044, 0.000759, 380, 6926, 55
p3.e2.et1, 0, 100, 24981, 0.000498, 249, 665, 90
p3.e2.et1, 1, 100, 36356, 0.000725, 363, 846, 116
p3.e2.et1, 2, 100, 29975, 0.000598, 299, 701, 71
p3.e2.et2, 0, 100, 25265, 0.000504, 252, 566, 97
p3.e2.et2, 1, 100, 63662, 0.001270, 636, 31792, 83
p3.e2.et2, 2, 100, 23667, 0.000472, 236, 731, 89
p3.e2.et2, 3, 100, 36074, 0.000720, 360, 2562, 85
p3.e2.et2, 4, 100, 20524, 0.000409, 205, 437, 68
p3.e2.et2, 5, 100, 31049, 0.000619, 310, 886, 42
p3.e2.etr, 0, 100, 83202, 0.001660, 832, 2289, 348
p3.e3.et0, 0, 100, 28329, 0.000565, 283, 876, 98
p3.e3.et1, 0, 100, 31860, 0.000635, 318, 2932, 90
p3.e3.et1, 1, 100, 34033, 0.000679, 340, 750, 112
p3.e3.et1, 2, 100, 29735, 0.000593, 297, 672, 103
p3.e3.et2, 0, 100, 25749, 0.000514, 257, 500, 98
p3.e3.et2, 1, 100, 23053, 0.000460, 230, 641, 74
p3.e3.et2, 2, 100, 26224, 0.000523, 262, 610, 108
p3.e3.et2, 3, 100, 34060, 0.000679, 340, 784, 92
p3.e3.et2, 4, 100, 2478129, 0.049428, 24781, 2457995, 44
p3.e3.et2, 5, 100, 26670, 0.000532, 266, 1129, 42
p3.e3.etr, 0, 100, 78977, 0.001575, 789, 6156, 253
p3.delay, 0, 100, 32427, 0.000647, 324, 1861, 118
