Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, s1, 0, 0, 0, 0, 381093, NO TRIGGER, -9223372036854775808
Reaction ends, s1, 0, 0, 0, 0, 381665, NO TRIGGER, -9223372036854775808
Reaction starts, ns_federate__plant, 0, 0, 0, 0, 382394, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__plant, 0, 0, 0, 0, 383017, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 383108, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2044606, NO TRIGGER, 0
Reaction starts, nr_federate__s1_2, 0, 0, 0, 0, 2044892, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s1_2, 0, 0, 0, 0, 2045076, NO TRIGGER, -9223372036854775808
Reaction starts, s1, 0, 3, 0, 0, 2045418, NO TRIGGER, -9223372036854775808
Reaction ends, s1, 0, 3, 0, 0, 2045619, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2046093, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2048133, NO TRIGGER, 0
Reaction starts, s1, 0, 4, 0, 0, 2048230, NO TRIGGER, -9223372036854775808
Reaction ends, s1, 0, 4, 0, 0, 2048306, NO TRIGGER, -9223372036854775808
Reaction starts, ns_federate__p1, 0, 0, 0, 0, 2048547, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1, 0, 0, 0, 0, 2048709, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2048800, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2048885, NO TRIGGER, 0
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2048958, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2049032, NO TRIGGER, 0
Reaction starts, ns_federate__p1, 0, 1, 0, 0, 2049085, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, 2049255, NO TRIGGER, 0
Reaction ends, ns_federate__p1, 0, 1, 0, 0, 2053461, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2053557, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2053648, NO TRIGGER, 0
Reaction starts, ns_federate__p1, 0, 2, 0, 0, 2053744, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1, 0, 2, 0, 0, 2053800, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2053860, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2053923, NO TRIGGER, 0
Reaction starts, ns_federate__p1_0, 0, 0, 0, 0, 2054078, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1_0, 0, 0, 0, 0, 2054273, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2054332, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2054384, NO TRIGGER, 0
Reaction starts, ns_federate__p1_0, 0, 1, 0, 0, 2054438, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, 2054500, NO TRIGGER, 0
Reaction ends, ns_federate__p1_0, 0, 1, 0, 0, 2057706, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2057771, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2057824, NO TRIGGER, 0
Reaction starts, ns_federate__p1_0, 0, 2, 0, 0, 2057881, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1_0, 0, 2, 0, 0, 2057938, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2057998, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2058052, NO TRIGGER, 0
Reaction starts, ns_federate__p1_1, 0, 0, 0, 0, 2058165, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1_1, 0, 0, 0, 0, 2058288, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2058348, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2058404, NO TRIGGER, 0
Reaction starts, ns_federate__p1_1, 0, 1, 0, 0, 2058458, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, 2058517, NO TRIGGER, 0
Reaction ends, ns_federate__p1_1, 0, 1, 0, 0, 2061504, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2061572, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2061625, NO TRIGGER, 0
Reaction starts, ns_federate__p1_1, 0, 2, 0, 0, 2061733, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1_1, 0, 2, 0, 0, 2061789, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2061849, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2061922, NO TRIGGER, 0
Reaction starts, ns_federate__p1_2, 0, 0, 0, 0, 2061977, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1_2, 0, 0, 0, 0, 2062087, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2062145, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2062198, NO TRIGGER, 0
Reaction starts, ns_federate__p1_2, 0, 1, 0, 0, 2062276, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, 2062335, NO TRIGGER, 0
Reaction ends, ns_federate__p1_2, 0, 1, 0, 0, 2064940, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2065004, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 2065057, NO TRIGGER, 0
Reaction starts, ns_federate__p1_2, 0, 2, 0, 0, 2066748, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__p1_2, 0, 2, 0, 0, 2066810, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 2066866, NO TRIGGER, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, 2067060, NO TRIGGER, 0
Scheduler advancing time starts, NO REACTOR, -1, -1, 0, 0, 2068390, NO TRIGGER, 0
Sending NET, NO REACTOR, 0, -1, 50000000, 0, 2068685, NO TRIGGER, 0
