Start time:, 1754072193349933818
End time:, 1754072198363386361
Total time:, 5013452543

Total Event Occurrences
Reaction starts, 24370
Reaction ends, 24370
Schedule called, 801
Worker wait starts, 24379
Worker wait ends, 24379
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 403
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 8428
Sending TAGGED_MSG, 2800
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving TAG, 39
Receiving PORT_ABS, 9327
Receiving TAGGED_MSG, 3104

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
p2.a.r, 0, 100, 3313892, 0.066100, 33138, 3275511, 163
p2.a.r, 1, 100, 22895, 0.000457, 228, 747, 55
p2.a.r, 2, 100, 20560, 0.000410, 205, 882, 55
p2.a.r, 3, 101, 42385, 0.000845, 419, 2745, 166
p2.a.r, 4, 101, 22286, 0.000445, 220, 723, 72
p2.a.r, 5, 101, 38929, 0.000776, 385, 1688, 56
p2.a.r, 6, 101, 17181, 0.000343, 170, 766, 63
p2.a.r, 7, 101, 21483, 0.000429, 212, 671, 90
p2.a.c, 0, 101, 39347, 0.000785, 389, 975, 212
p2.a.c, 1, 100, 21334, 0.000426, 213, 826, 49
p2.a.c, 2, 100, 8300, 0.000166, 83, 2176, 35
p2.a.c, 3, 100, 9539, 0.000190, 95, 2422, 34
p2.a.c, 4, 100, 3501675, 0.069846, 35016, 229132, 7270
p2.a.w, 0, 100, 23719, 0.000473, 237, 560, 77
p2.a.w, 1, 100, 10408, 0.000208, 104, 358, 52
p2.a.w, 2, 100, 15603, 0.000311, 156, 591, 56
p2.a.w, 3, 100, 2024950, 0.040390, 20249, 1999246, 57
p2.a.a, 0, 100, 24055, 0.000480, 240, 936, 56
p2.a.delay, 0, 100, 81801, 0.001632, 818, 2365, 342
p2.a.delay, 1, 101, 228573, 0.004559, 2263, 89108, 361
p2.a.delay_0, 0, 100, 59250, 0.001182, 592, 15084, 98
p2.a.delay_0, 1, 101, 1754072197202698153, 34987310284.841728, 17367051457452456, 1754072197202451273, 373
p2.a.delay_1, 0, 100, 25365, 0.000506, 253, 2094, 93
p2.a.delay_1, 1, 101, 388221, 0.007744, 3843, 21457, 1653
p2.ps, 0, 100, 33748, 0.000673, 337, 822, 138
p2.ps, 1, 100, 13868, 0.000277, 138, 548, 42
p2.ps, 2, 100, 13829, 0.000276, 138, 653, 37
p2.ps, 3, 100, 37676, 0.000751, 376, 1103, 118
p2.ps, 4, 100, 21920, 0.000437, 219, 823, 69
p2.ps, 5, 100, 23314, 0.000465, 233, 859, 65
p2.ps, 6, 1, 4398, 0.000088, 4398, 4398, 4398
p2.us, 0, 100, 38835, 0.000775, 388, 878, 206
p2.us, 1, 100, 29173, 0.000582, 291, 849, 61
p2.us, 2, 100, 23657, 0.000472, 236, 1159, 73
p2.e1.et0, 0, 100, 2455734, 0.048983, 24557, 2426260, 104
p2.e1.et1, 0, 100, 26902, 0.000537, 269, 722, 64
