Start time:, 1754072193349933818
End time:, 1754072198365151029
Total time:, 5015217211

Total Event Occurrences
Reaction starts, 24370
Reaction ends, 24370
Schedule called, 801
Worker wait starts, 24379
Worker wait ends, 24379
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 403
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 8428
Sending TAGGED_MSG, 2800
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving TAG, 77
Receiving PORT_ABS, 9327
Receiving TAGGED_MSG, 3104

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
ns_federate__p4_3, 0, 1, 565, 0.000011, 565, 565, 565
ns_federate__p4_3, 1, 100, 7314799, 0.145852, 73147, 423515, 2510
ns_federate__p4_3, 2, 401, 1754072196970943233, 34974999549.843887, 4374244880226791, 1754072196961221305, 49
ns_federate__p3_4, 0, 1, 251, 0.000005, 251, 251, 251
ns_federate__p3_4, 1, 100, 13803734, 0.275237, 138037, 800505, 2204
ns_federate__p3_4, 2, 401, 14638639, 0.291884, 36505, 897963, 49
ns_federate__p4_4, 0, 1, 186, 0.000004, 186, 186, 186
ns_federate__p4_4, 1, 100, 1754072197029838667, 34974999551.018219, 17540721970298386, 1754072197024811008, 2415
ns_federate__p4_4, 2, 401, 15853719, 0.316112, 39535, 894786, 50
ns_federate__p2_4, 0, 1, 122, 0.000002, 122, 122, 122
ns_federate__p2_4, 1, 100, 18346635, 0.365819, 183466, 1226770, 2381
ns_federate__p2_4, 2, 401, 20459602, 0.407950, 51021, 692698, 48
ns_federate__p4_5, 0, 1, 472, 0.000009, 472, 472, 472
ns_federate__p4_5, 1, 100, 12132557, 0.241915, 121325, 1083649, 2381
ns_federate__p4_5, 2, 401, 19859503, 0.395985, 49524, 798125, 54
ns_federate__p2_5, 0, 1, 612, 0.000012, 612, 612, 612
ns_federate__p2_5, 1, 100, 17007328, 0.339114, 170073, 878753, 2181
ns_federate__p2_5, 2, 401, 18902243, 0.376898, 47137, 930909, 50
ns_federate__p3_5, 0, 1, 439, 0.000009, 439, 439, 439
ns_federate__p3_5, 1, 100, 13782132, 0.274806, 137821, 809541, 2538
ns_federate__p3_5, 2, 401, 20065747, 0.400097, 50039, 704220, 63
ns_federate__p2_6, 0, 1, 204, 0.000004, 204, 204, 204
ns_federate__p2_6, 1, 100, 11330936, 0.225931, 113309, 524783, 2297
ns_federate__p2_6, 2, 401, 14125810, 0.281659, 35226, 816653, 47
ns_federate__p3_6, 0, 1, 270, 0.000005, 270, 270, 270
ns_federate__p3_6, 1, 100, 7850288, 0.156529, 78502, 716427, 2423
ns_federate__p3_6, 2, 401, 16542896, 0.329854, 41254, 2300059, 49
ns_federate__p4_6, 0, 1, 436, 0.000009, 436, 436, 436
ns_federate__p4_6, 1, 100, 10489962, 0.209163, 104899, 684791, 2353
ns_federate__p4_6, 2, 401, 23663013, 0.471824, 59010, 685252, 46
ns_federate__p3_7, 0, 1, 203, 0.000004, 203, 203, 203
ns_federate__p3_7, 1, 100, 19904879, 0.396890, 199048, 2853318, 2439
ns_federate__p3_7, 2, 401, 17293545, 0.344821, 43126, 667859, 47
ns_federate__p4_7, 0, 1, 209, 0.000004, 209, 209, 209
ns_federate__p4_7, 1, 100, 10960997, 0.218555, 109609, 1505418, 2632
ns_federate__p4_7, 2, 401, 16988152, 0.338732, 42364, 594687, 48
ns_federate__p2_7, 0, 1, 623, 0.000012, 623, 623, 623
ns_federate__p2_7, 1, 100, 17430499, 0.347552, 174304, 1310301, 2145
ns_federate__p2_7, 2, 401, 18934226, 0.377536, 47217, 676993, 52
ns_federate__p4_8, 0, 1, 374, 0.000007, 374, 374, 374
ns_federate__p4_8, 1, 100, 11786036, 0.235005, 117860, 613513, 2273
ns_federate__p4_8, 2, 401, 18845326, 0.375763, 46995, 1529865, 71
ns_federate__p2_8, 0, 1, 100, 0.000002, 100, 100, 100
ns_federate__p2_8, 1, 100, 14641305, 0.291938, 146413, 1823584, 2377
ns_federate__p2_8, 2, 401, 1754072195380724682, 34974999518.136017, 4374244876261158, 1754072195363274684, 49
ns_federate__p3_8, 0, 1, 112, 0.000002, 112, 112, 112
ns_federate__p3_8, 1, 100, 3508144389655041248, 69949999014.211014, 35081443896550412, 1754072195319838709, 2669
ns_federate__p3_8, 2, 401, 18276389, 0.364419, 45577, 570364, 55
ns_federate__p2_9, 0, 1, 476, 0.000009, 476, 476, 476
ns_federate__p2_9, 1, 100, 20756202, 0.413864, 207562, 1434675, 934
ns_federate__p2_9, 2, 401, 1754072195208416457, 34974999514.700310, 4374244875831462, 1754072195193342347, 44
ns_federate__p3_9, 0, 1, 232, 0.000005, 232, 232, 232
ns_federate__p3_9, 1, 100, 17220973, 0.343374, 172209, 1208867, 2402
ns_federate__p3_9, 2, 401, 30889733, 0.615920, 77031, 729395, 49
ns_federate__p4_9, 0, 1, 579, 0.000012, 579, 579, 579
ns_federate__p4_9, 1, 100, 1754072195094303378, 34974999512.424980, 17540721950943033, 1754072195076630057, 1350
ns_federate__p4_9, 2, 401, 9893575, 0.197271, 24672, 156237, 49
ns_federate__p3_10, 0, 1, 741, 0.000015, 741, 741, 741
ns_federate__p3_10, 1, 100, 17103894, 0.341040, 171038, 778818, 2494
ns_federate__p3_10, 2, 401, 34699140, 0.691877, 86531, 1786560, 53
ns_federate__p4_10, 0, 1, 1047, 0.000021, 1047, 1047, 1047
ns_federate__p4_10, 1, 100, 11234349, 0.224005, 112343, 561220, 4816
ns_federate__p4_10, 2, 401, 11439016, 0.228086, 28526, 354703, 66
ns_federate__p2_10, 0, 1, 270, 0.000005, 270, 270, 270
ns_federate__p2_10, 1, 100, 13679995, 0.272770, 136799, 1982370, 2600
ns_federate__p2_10, 2, 401, 29400868, 0.586233, 73318, 1954260, 56
ns_federate__p4_11, 0, 1, 554, 0.000011, 554, 554, 554
ns_federate__p4_11, 1, 100, 11633092, 0.231956, 116330, 1824871, 2780
ns_federate__p4_11, 2, 401, 11990664, 0.239086, 29901, 264325, 71
ns_federate__p2_11, 0, 1, 131, 0.000003, 131, 131, 131
ns_federate__p2_11, 1, 100, 7933427, 0.158187, 79334, 427694, 2444
ns_federate__p2_11, 2, 401, 18721531, 0.373295, 46687, 480295, 49
ns_federate__p3_11, 0, 1, 415, 0.000008, 415, 415, 415
ns_federate__p3_11, 1, 100, 5858910, 0.116823, 58589, 360028, 7047
ns_federate__p3_11, 2, 401, 1754072194219589847, 34974999494.983788, 4374244873365560, 1754072194207692987, 56
ns_federate__plant_3, 0, 1, 434, 0.000009, 434, 434, 434
ns_federate__plant_3, 1, 100, 10092830, 0.201244, 100928, 843882, 2330
ns_federate__plant_3, 2, 401, 9393903, 0.187308, 23426, 348351, 46
nr_federate__p1, 0, 101, 300544, 0.005993, 2975, 92718, 651
nr_federate__p1_0, 0, 101, 85150, 0.001698, 843, 3675, 197
nr_federate__p1_1, 0, 101, 63870, 0.001274, 632, 5453, 96
nr_federate__p1_2, 0, 101, 63529, 0.001267, 629, 4636, 123
nr_federate__p1_3, 0, 100, 252428, 0.005033, 2524, 60851, 378
nr_federate__p1_4, 0, 100, 210520, 0.004198, 2105, 105324, 186
nr_federate__p1_5, 0, 100, 145390, 0.002899, 1453, 25840, 140
nr_federate__p1_6, 0, 100, 160309, 0.003196, 1603, 34566, 198
nr_federate__p1_7, 0, 100, 1754072196077560855, 34974999532.030457, 17540721960775608, 1754072196077400916, 171
nr_federate__p1_8, 0, 100, 104277, 0.002079, 1042, 21168, 182
nr_federate__p1_9, 0, 100, 216725, 0.004321, 2167, 87632, 251
nr_federate__p1_10, 0, 100, 304113, 0.006064, 3041, 114168, 173
nr_federate__p1_11, 0, 100, 255123, 0.005087, 2551, 72731, 195
nr_federate__p1_12, 0, 100, 249463, 0.004974, 2494, 65598, 322
nr_federate__p1_13, 0, 100, 173196, 0.003453, 1731, 31022, 145
nr_federate__p1_14, 0, 100, 253211, 0.005049, 2532, 74816, 182
nr_federate__p1_15, 0, 100, 184162, 0.003672, 1841, 80964, 189
nr_federate__p1_16, 0, 100, 162327, 0.003237, 1623, 38318, 186
nr_federate__p1_17, 0, 100, 180153, 0.003592, 1801, 36094, 214
nr_federate__p1_18, 0, 100, 143553, 0.002862, 1435, 27615, 175
nr_federate__p1_19, 0, 100, 148090, 0.002953, 1480, 43847, 187
nr_federate__p1_20, 0, 100, 143436, 0.002860, 1434, 22757, 207
nr_federate__p1_21, 0, 100, 1754072195181221951, 34974999514.158073, 17540721951812219, 1754072195181023886, 224
nr_federate__p1_22, 0, 100, 1754072194190850764, 34974999494.410744, 17540721941908507, 1754072194190701158, 153
nr_federate__p1_23, 0, 100, 108779, 0.002169, 1087, 39534, 203
nr_federate__p1_24, 0, 100, 2578333, 0.051410, 25783, 2410582, 186
nr_federate__p1_25, 0, 100, 128150, 0.002555, 1281, 60120, 187
nr_federate__p1_26, 0, 100, 89487, 0.001784, 894, 6176, 149
nr_federate__p1_27, 0, 100, 1754072195079327337, 34974999512.126358, 17540721950793273, 1754072195079077127, 203
nr_federate__p1_28, 0, 100, 102462, 0.002043, 1024, 8255, 81
