Start time:, 1754072193349933818
End time:, 1754072198363728180
Total time:, 5013794362

Total Event Occurrences
Reaction starts, 24370
Reaction ends, 24370
Schedule called, 801
Worker wait starts, 24378
Worker wait ends, 24378
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 403
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 8428
Sending TAGGED_MSG, 2800
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving TAG, 8
Receiving PORT_ABS, 9327
Receiving TAGGED_MSG, 3104

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
p4.a.r, 0, 100, 42683, 0.000851, 426, 1259, 219
p4.a.r, 1, 100, 1570237, 0.031318, 15702, 1540449, 56
p4.a.r, 2, 100, 23505, 0.000469, 235, 1048, 57
p4.a.r, 3, 101, 55299, 0.001103, 547, 3205, 227
p4.a.r, 4, 101, 34651, 0.000691, 343, 2957, 79
p4.a.r, 5, 101, 46736, 0.000932, 462, 9166, 51
p4.a.r, 6, 101, 18127, 0.000362, 179, 516, 63
p4.a.r, 7, 101, 25134, 0.000501, 248, 567, 97
p4.a.c, 0, 101, 992250, 0.019790, 9824, 959886, 68
p4.a.c, 1, 100, 21581, 0.000430, 215, 627, 60
p4.a.c, 2, 100, 6936, 0.000138, 69, 173, 34
p4.a.c, 3, 100, 12457, 0.000248, 124, 5102, 34
p4.a.c, 4, 100, 4834782, 0.096430, 48347, 1346019, 5141
p4.a.w, 0, 100, 26157, 0.000522, 261, 660, 62
p4.a.w, 1, 100, 9974, 0.000199, 99, 452, 52
p4.a.w, 2, 100, 19914, 0.000397, 199, 964, 52
p4.a.w, 3, 100, 26440, 0.000527, 264, 4416, 54
p4.a.a, 0, 100, 22720, 0.000453, 227, 753, 51
p4.a.delay, 0, 100, 93649, 0.001868, 936, 8832, 324
p4.a.delay, 1, 101, 295552, 0.005895, 2926, 94043, 458
p4.a.delay_0, 0, 100, 33528, 0.000669, 335, 1585, 99
p4.a.delay_0, 1, 101, 415606, 0.008289, 4114, 112033, 491
p4.a.delay_1, 0, 100, 31300, 0.000624, 313, 5291, 101
p4.a.delay_1, 1, 101, 513797, 0.010248, 5087, 26095, 1681
p4.ps, 0, 100, 34723, 0.000693, 347, 751, 85
p4.ps, 1, 100, 15568, 0.000311, 155, 545, 38
p4.ps, 2, 100, 16642, 0.000332, 166, 571, 37
p4.ps, 3, 100, 45386, 0.000905, 453, 1066, 179
p4.ps, 4, 100, 25141, 0.000501, 251, 1921, 74
p4.ps, 5, 100, 27812, 0.000555, 278, 809, 71
p4.ps, 6, 1, 41548, 0.000829, 41548, 41548, 41548
p4.us, 0, 100, 41474, 0.000827, 414, 1027, 165
